s	width	allele counts	se_f	f	n	f_per_kb
-0.1	1.224744871391589	1.106338589938541	0.655286197016235	1.528	25	1.5280000000000003e-5
-0.1	1.224744871391589	1.3541419226309606	0	0	25	0
-0.1	1.224744871391589	1.6574495035272516	0	0	25	0
-0.1	1.224744871391589	2.0286934558567684	0.46416591861100703	0.794	25	7.94e-6
-0.1	1.224744871391589	2.4830905129101035	0	0	25	0
-0.1	1.224744871391589	3.0392657291341303	0.33742011400231214	0.5124	25	5.1239999999999996e-6
-0.1	1.224744871391589	3.720015893203823	0.2509568355979437	0.4072	25	4.072e-6
-0.1	1.224744871391589	4.5532439342286635	0.18987013105453598	0.27440000000000003	25	2.7440000000000003e-6
-0.1	1.224744871391589	5.573102621003827	0.17129604003984836	0.2444	25	2.4440000000000002e-6
-0.1	1.224744871391589	6.821394432824586	0.15113459784796685	0.196	25	1.9600000000000003e-6
-0.1	1.224744871391589	8.349284980470902	0.11198139726460522	0.1476	25	1.4760000000000001e-6
-0.1	1.224744871391589	10.21940020792074	0.10179759329178661	0.1226	25	1.2260000000000002e-6
-0.1	1.224744871391589	12.508393335947712	0.08282662615367115	0.0946	25	9.46e-7
-0.1	1.224744871391589	15.310086762774377	0.07571266345471808	0.09133333333333332	25	9.133333333333332e-7
-0.1	1.224744871391589	18.739317703580973	0.06372188922706755	0.0738	25	7.380000000000001e-7
-0.1	1.224744871391589	22.936645195870106	0.0543215120064479	0.060079999999999995	25	6.007999999999999e-7
-0.1	1.224744871391589	28.074111403783828	0.04811945013694028	0.04726666666666667	25	4.726666666666667e-7
-0.1	1.224744871391589	34.362293368603815	0.041330178725350164	0.03931428571428571	25	3.931428571428571e-7
-0.1	1.224744871391589	42.058934246120046	0.03443048552276504	0.03265	25	3.265e-7
-0.1	1.224744871391589	51.479507812354285	0.03289564307523614	0.02195999999999999	25	2.195999999999999e-7
-0.1	1.224744871391589	63.0101492608963	0.02729476039047009	0.020123076923076924	25	2.0123076923076925e-7
-0.1	1.224744871391589	77.12348230585881	0.018426091102926125	0.0166	25	1.66e-7
-0.1	1.224744871391589	94.39799131968466	0.01967827567910049	0.014315789473684214	25	1.4315789473684214e-7
-0.1	1.224744871391589	115.54173254070393	0.025792688109702453	0.015930434782608704	25	1.5930434782608704e-7
-0.1	1.224744871391589	141.4213562373095	0.014396940596303498	0.008841379310344824	25	8.841379310344824e-8
-0.1	1.224744871391589	173.0976294037676	0.013132884415132266	0.007154285714285704	25	7.154285714285705e-8
-0.1	1.224744871391589	211.86891500973533	0.007670012829786279	0.004325581395348841	25	4.32558139534884e-8
-0.1	1.224744871391589	259.3243899527689	0.00683227489758236	0.0033999999999999976	25	3.399999999999998e-8
-0.1	1.224744871391589	317.409183037944	0.004448007776020892	0.0016369230769230738	25	1.6369230769230737e-8
-0.1	1.224744871391589	388.50410289276914	0.0034267962124109137	0.0015692307692307674	25	1.5692307692307673e-8
-0.1	1.224744871391589	475.5232237451433	0.0028478187998815735	0.001331958762886597	25	1.331958762886597e-8
-0.1	1.224744871391589	582.0333289591675	0.0013162393162393165	2.632478632478633e-4	25	2.632478632478633e-9
