s	width	allele counts	se_f	f	n	f_per_kb
-0.1	1.224744871391589	42.058934246120046	0.25570432754452943	0.7134	25	7.134000000000001e-6
-0.1	1.224744871391589	51.479507812354285	0.17940361386178005	0.60836	25	6.0836e-6
-0.1	1.224744871391589	63.0101492608963	0.14681163043964596	0.4765230769230768	25	4.765230769230768e-6
-0.1	1.224744871391589	77.12348230585881	0.16283004144147767	0.391275	25	3.91275e-6
-0.1	1.224744871391589	94.39799131968466	0.1125814038100484	0.31791578947368415	25	3.1791578947368415e-6
-0.1	1.224744871391589	115.54173254070393	0.10509867239351023	0.2646086956521739	25	2.6460869565217385e-6
-0.1	1.224744871391589	141.4213562373095	0.08891226241775743	0.20655172413793113	25	2.0655172413793117e-6
-0.1	1.224744871391589	173.0976294037676	0.06959361726930016	0.1622628571428569	25	1.6226285714285692e-6
-0.1	1.224744871391589	211.86891500973533	0.04631976318495946	0.14315348837209316	25	1.4315348837209315e-6
-0.1	1.224744871391589	259.3243899527689	0.03775344662087723	0.11736923076923073	25	1.1736923076923072e-6
-0.1	1.224744871391589	317.409183037944	0.054607131915307264	0.10024615384615371	25	1.002461538461537e-6
-0.1	1.224744871391589	388.50410289276914	0.043511157793252396	0.08626153846153833	25	8.626153846153833e-7
-0.1	1.224744871391589	475.5232237451433	0.029843394459494462	0.07700618556701021	25	7.70061855670102e-7
-0.1	1.224744871391589	582.0333289591675	0.02638897804983953	0.06127863247863239	25	6.127863247863239e-7
-0.1	1.224744871391589	712.4001081403561	0.020932519782934433	0.04678344827586208	25	4.678344827586208e-7
-0.1	1.224744871391589	871.9671002105022	0.017105093897987027	0.04197045454545453	25	4.1970454545454536e-7
-0.1	1.224744871391589	1067.2747170607029	0.014548111247391656	0.03624444444444444	25	3.624444444444444e-7
-0.1	1.224744871391589	1306.3283252338515	0.014202200669496672	0.030792452830188707	25	3.079245283018871e-7
-0.1	1.224744871391589	1598.9263739030541	0.012335087231910987	0.028973374613003085	25	2.8973374613003086e-7
-0.1	1.224744871391589	1957.062018620097	0.007586351188678096	0.024514861460957185	25	2.4514861460957186e-7
-0.1	1.224744871391589	2395.4147027895547	0.00778938645828637	0.023283298969072132	25	2.3283298969072135e-7
-0.1	1.224744871391589	2931.9518460565623	0.007358832271228431	0.019618887015177056	25	1.9618887015177056e-7
-0.1	1.224744871391589	3588.6653019135715	0.0037797310924073883	0.016897936726272354	25	1.6897936726272355e-7
-0.1	1.224744871391589	4392.472770819839	0.004020505647585223	0.01566479190101238	25	1.566479190101238e-7
-0.1	1.224744871391589	5376.321116406638	0.004777497445771158	0.014900275482093663	25	1.490027548209366e-7
-0.1	1.224744871391589	6580.536808046029	0.0030493781214615493	0.011089789789789787	25	1.1089789789789787e-7
-0.1	1.224744871391589	8054.478842400569	0.0030020124271761097	0.010698159509202452	25	1.0698159509202452e-7
-0.1	1.224744871391589	9858.561894731161	0.0026320545778964317	0.008184969939879754	25	8.184969939879754e-8
-0.1	1.224744871391589	12066.732625903607	0.001663012421938377	0.007263692181743749	25	7.263692181743749e-8
-0.1	1.224744871391589	14769.500645207127	0.0016766436222840227	0.005582347041123372	25	5.5823470411233716e-8
-0.1	1.224744871391589	18077.64836360904	0.0018729212583643313	0.009437158469945356	25	9.437158469945357e-8
-0.1	11.022703842524301	1	0	0	25	0
-0.1	11.022703842524301	1.106338589938541	10.582489656660824	421.9296	25	0.004219296
-0.1	11.022703842524301	1.3541419226309606	0	0	25	0
-0.1	11.022703842524301	1.6574495035272516	0	0	25	0
-0.1	11.022703842524301	2.0286934558567684	6.362394020073471	320.2592	25	0.003202592
-0.1	11.022703842524301	2.4830905129101035	0	0	25	0
-0.1	11.022703842524301	3.0392657291341303	4.491312799913484	181.6036	25	0.001816036
-0.1	11.022703842524301	3.720015893203823	4.585169026328255	147.606	25	0.00147606
-0.1	11.022703842524301	4.5532439342286635	3.6713048089201212	106.0396	25	0.001060396
-0.1	11.022703842524301	5.573102621003827	3.3138246785248016	90.5644	25	9.056440000000002e-4
